BONTOK WORD,PART OF SPEECH,DEFINITION,PRONUNCIATION,ROOT,AFFIX ,MORPHOLOGICAL PHENOMENA,EXAMPLE SENTENCE,SENTENCE TRANSLATION,VARIATIONS,PLURAL FORM,NOTES,
agimid,Noun,"Any consanguineal relative, but especially of distant relatives whose actual relationship is obscure",/a.gi.mid/,"agi, mid",N/A,Derivation,Angsanda nan agimid Bontok tay siya nan nalpowan nan apomis kaysan.,We have many relatives in Bontoc because that is where our ancestor came from.,N/A,N/A,Collective Noun,agimid
agis,Verb,"To slice, as vegetables",/á.gis/,ágis,N/A,N/A,Agis em nan sayyoti.,Slice up the chayote.,N/A,N/A,Future Tense,agis
agisot,Verb,To zipper; to open or close a zipper,/á.gi.sot/,ágisot,N/A,N/A,Agisot em nan sipel nan badok.,Undo the zipper of my dress,N/A,N/A,Future Tense,agisot
agkawin,Noun,A small basket worn by a woman on her rump for small items.,/ag.ka.win/,agkawin,N/A,N/A,Iyussom nan bai nan agkawin.,The woman is wearing the small rump basket.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",agkawin
agkhama,Noun,Crab,/ág.kha.ma/,agkhama,N/A,N/A,Khachiw ya agkhama.,Fish and crab.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",agkhama
aglos,Verb,really,/ag.los/,aglos,,,Aglos na itnga.,It really hit him.,N/A,N/A,Auxialliary Verb,aglos
agmis,Verb,"To have stubbed one's toe; to have suffered a slight injury, as a scratch.",/ag.mis/,agmis,N/A,N/A,Naagmisan nan kokona.,She stubbed her toe.,N/A,N/A,,agmis
agmisan,Verb,to have stubbed one's toe,/ag.mi.san/,agmis,-an,Suffixation,Na agmisan nan kokona.,She stubbed her toe.,N/A,N/A,Past Tense,agmisan
agob,Verb,To smell; to have a bad odor; to stink.,/á.gob/,ágob,N/A,N/A,Gayedkas sa tay in-ágobka.,Move over because you smell.,N/A,N/A,,agob
agod,Verb,"To sharpen to a point, as a post, stick or pencil.",/á.god/,ágod,N/A,N/A,Agodam nan lapisko.,Sharpen my pencil.,N/A,N/A,Future Tense,agod
agokoy,Verb,To walk carefully becayse of sore feet; to limp.,/a.gó.koy/,agókoy,N/A,N/A,In-ag-agógoy ay manalan tay nabengas.,He is walking carefully becasuse he has splits in his feet.,N/A,N/A,,agokoy
agotóot,Verb,To indicate one's dislike by making excuses.,/a.go.tó.ot/,agotóot,N/A,N/A,Kasin pay laeng in-ag-agotóot mo mabaal.,He keeps making excuses when he is asked to go some place.,N/A,N/A,,agotóot
agsib,Verb,"To sip, especially in drinking wine.",/ag.sib/,agsib,N/A,N/A,Entakot sisa maki agsib sinan wad-ay bayasna.,Let's go and drink with those who have sugarcane wine.,N/A,N/A,,agsib
agtam,Verb,To take a slick off something. especially to include a part of someone else's field in one's own; to shift the boundary markers.,/ag.tam/,agtam,N/A,N/A,"As taban nan agtamanyo ay mange-ay, mo omeykayos pangom.","When you go to work with your group, dig first in the area above the pondfield.",N/A,N/A,,agtam
agtan,Verb,To share something with somebody.,/ag.tan/,agtan,N/A,N/A,Omagtankas akit.,Give me a little.,N/A,N/A,,agtan
agto,Verb,To carry on the head.,/ag.to/,agto,N/A,N/A,"Nan babbabais ilimi, innagtoda ay mangawit sinan awitda.",Women in our village usually carry their loads on their heads.,N/A,N/A,,agto
agwin,Noun,"A hip basket with constricted neck, worn by women when working in the fields",/ag.win/,agwin,N/A,N/A,Alaem nan agwin mos satako mangipay-an sinan aggongentakod Bagiw.,"Get your hip basket, so we can put the snails that we collect at Bagiw into it.",N/A,N/A,Concrete Noun,agwin
agyom,Verb,To bring two objects together,/ag.yom/,agyom,N/A,N/A,Agyom em nan sikim,Close you legs.,N/A,N/A,Future Tense,agyom
ahkamang,Noun,"A storehouse for palay, camote, and wine.",/ah.ka.mang/,ahkamang,N/A,N/A,Ad ahkamang nan ipatakder da nan pagey.,They store the rice in the storehouse.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",ahkamang
ak-akek,Verb,"To split with a knife, as bamboo or rattan",/ak.ak.kek/,ak-ak,-ek,Suffixation,Ak-akek nan naay anes ta sak lag-en si sokop.,I'm going to split this bamboo so I can weave it into a basket container,N/A,N/A,Future Tense,ak-akek
akang,Verb,"To step over, as a rock or a sleeping person.",/á.kang/,ákang,N/A,N/A,Adim ak-akángan nan naodim tay naseseyep.,Don't step over your younger brother because he is sleeping.,N/A,N/A,,akang
akas,Verb,"To gather in, as beans or rice put out to dry; to get.",/á.kas/,ákas,N/A,N/A,Engka akásen nan insap-eymoy bádom tay náay ay in-odan.,Go and bring in your dress that you put out to dry because it's raining.,N/A,N/A,,akas
akasen,Verb,"To gather in, as beans or rice put out to dry",/a.ka.sen/,akas,-en,Suffixation,Engka akasen nan insap-eymoy badom tay naay in-odan.,"Go and bring in your dress that you put out to dry, because it's raining.",N/A,N/A,Future Tense,akasen
akaug,Noun,A rice sieve.,/a.ka.ug/,akaug,N/A,N/A,In-usar nan bai nan akaug.,The woman used the rice sieve.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",akaug
aken,Verb,To gather together; to pile,/a.ke.n/,aken,N/A,N/A,Ta engkami akenen nan awitmid Madaol.,We will go and gather together our load at Madaol.,N/A,N/A,Future Tense,aken
akenen,Verb,To gather together; to pile.,/á.ke.nen/,áken,-en,Suffixation,Ta engkami akenen nan awitmid Madáol.,We will go and gather together our load at Madáol.,N/A,N/A,,akenen
akew,Verb,To steal from a house when the residents are out.,/á.kew/,akew,N/A,N/A,Ngaag nan mangakewta tay domosas Apodyos.,It's bad to steal beacuse God punishes it.,N/A,N/A,Present tense,akew
akhamichen,Verb,To get something (Nom) nearby; to bring something (Nom) near to oneself; to filch something (Nom) ; to pick up something (Nom) in order to steal it; to gather scattered items (Nom) into one place.,/a.kha.mi.tsen/,akhamid,-en,Suffixation,Inakhamidko ay nangisag-en an sik-a.,I brought it near to you.,N/A,N/A,Present Tense,akhamichen
akhes,Adverb,Also,/a.khes/,akhes,ages,N/A,Inmeykami akhes.,We also went.,N/A,N/A,Adverb of Degree,akhes
akhew,Verb,Steal.,/a.kew/,akhew,N/A,N/A,Inakhew da et napno nan asokar idi bale.,They stole the sugar in the house.,agew,N/A,Past Tense,akhew
akit,Adjective,Few; little; little by little,/á.kit/,akit,N/A,N/A,Ak-akitenyo nan sana tinapay ta siyay omanay.,Cut up the cake into small pieces so it will be sufficient.,N/A,N/A,,akit
akiyak,Noun,"A flat, open weave basket used for collecting snails and other edible creatures from pondfields",/a.ki.yák/,akiyak,N/A,N/A,Akiyak em kay nan deey nanagpson et aw-ay wad-ay banisbis.,"Put your basket in that flooded part, maybe there will be mudfish.",N/A,N/A,Future Tense,akiyak
aklay,Verb,"To spread out, as the vines of sweet potato or squash.",/ak.lay/,aklay,N/A,N/A,Inmaklay nan angelmod Todey.,The vines of your sweet potatoes at Todey are spreading out.,N/A,N/A,,aklay
aknot,Verb,"To tear with the teeth, as tough meat",/ak.not/,aknot,N/A,N/A,Belas si maaknotan tay olat.,"It is hard to tear with the teeth, because it is all tendons.",N/A,N/A,,aknot
akob,Noun,A storage basket consisting of two bowl-shaped halves.,/a.kob/,akob,N/A,N/A,Sami na inakoban si wakas sinan sengetmi.,We will use this lunch basket tomorrow for our lunch.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",akob
akob,Verb,"A large, covered basket, generally used as a lunch basket for carrying rice to the fields",/á.kob/,akob,N/A,N/A,Sami na in-akoban si wakas sinan sengetmi.,We will use this lunch basket tomorrow for our lunch.,N/A,N/A,Future Tense,akob
akoko,Verb,To cup both hands together.,/a.kó.ko/,akoko,N/A,N/A,Akokowem nan naayda banisbis ta adida lomayaw.,Hold these mudfish in both of you hands so they will not slip out.,N/A,N/A,,akoko
akokowem,Verb,To cup both hands together.,/a.kó.ko.wem/,akoko,-wem,Suffixation,Akokowem nan naayda banisbis ta adida lomayaw,Hold these mudfish in both of you hands so they will not slip out.,N/A,N/A,Future Tense,akokowem
akom,Verb,"To continue on after the work is finished; to stay constantly in one place, as for work which requires laborers day after day.",/á.kom/,akom,N/A,N/A,Igda imáakon ad bontok ay inlabbo.,They are just staying on in Bontoc to work.,N/A,N/A,,akom
akon,Noun,"The valuable possessions of a family, stored in the attic.",/a.kon/,akon,N/A,N/A,Ay inakonmo am-in nan awitmos Palotan ay nangisaal?,Did you bring home all of your loads from Palotan?,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",akon
akool,Verb,"To smell burned or scorched, as over-cooked beans, rice or scorched clothes.",/a.kó.ol/,akool,N/A,N/A,Sana ay in-akool nan lotlotowem at makan.,The rice you are cooking smells as though it is burning.,N/A,N/A,,akool
akop,Verb,"To gather up with cupped hands, as split beans.",/á.kop/,akop,N/A,N/A,Akopem man nan sanada inwasit si manok ay palda.,Gather up those beans that the chicken knocked over.,N/A,N/A,,akop
akopem,Verb,"To gather up with cupped hands, as split beans.",/á.ko.pem/,akop,-em,Suffixation,Akopem man nan sanada inwasit si manok ay palda.,Gather up those beans that the chicken knocked over.,N/A,N/A,Future Tense,akopem
akpayat,Verb,To be walked on by chickens; to have footprints of chickens evident.,/ak.pa.yat/,akpayat,N/A,N/A,Owasam nan insasap-eymoy watwat tay  inakpayatan si manok.,"You wash the meath that you put out to dry, because chickens have stepped on it.",N/A,N/A,,akpayat
aksidinti,Verb,To have an accident.,/ak.si.din.ti/,aksidinti,N/A,N/A,Maid mangammos nan maaksidintiyana. ,No one knows when an accident will happen to him.,N/A,N/A,,aksidinti
aksop,Verb,To such one's fingers; to lick the food from one's fingers after eating.,/ák.sop/,aksop,N/A,N/A,Adim ak-aksopan nan ledengmo tay ig kalet.,Don't such your fingers because they are dirty.,N/A,N/A,,aksop
akyob,Verb,"To fill up with soil; to return the soil, as into a hole or a ditch.",/ak.yob/,akyob,N/A,N/A,Engka akyoben nan kinaobam ay ayom ta maid maayoman si ipogaw.,Go and fill up the hole you made so nobody will fall into it.,N/A,N/A,,akyob
akyoben,Verb,"To fill up with soil; to return the soil, as into a hole or a ditch.",/ak.yo.ben/,abyob,-en,Suffixation,Engka akyoben nan kinaobam ay ayom ta maid maayoman si ipogaw.,Go and fill up the hole you made so nobody will fall into it.,N/A,N/A,Future Tense,akyoben
al-layo,Noun,"An improvised song about the history of the sponsoring families, sung by old men at the chono.",/al.la.yo/,al-layo,N/A,N/A,In-awit si lakay nan al-layo isnan chono.,The elder sang the improvised song about the family’s history at the feast.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",al-layo
al-ling ,Noun,Gold handcrafted earrings.,/al.ling/,al-ling ,N/A,N/A,Nafalor nan al-ling na.,Her gold earrings are valuable.,N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",al-ling
al-o,Noun,Pestle.,/al.o/,al-o,N/A,N/A,Iyal-om nan naay indagsen.,You use this heavy pestle to pound the rice.,N/A,N/A,,al-o
ala,Verb,To get.,/á.la/,ala,N/A,N/A,Engkat omalas kapis abongmi.,Go and get some coffee from my house.,N/A,N/A,,ala
alado,Verb,To plough.,/á.la.do/,alado,N/A,N/A,Naligat si alado wen nan inkegsel ay lota.,It is difficult to plough hard soil.,N/A,N/A,Present Tense,alado
alakop,Verb,"To shelter, as a hen sheltering chicks under its wings or a mother sheltering her child from the wind.",/a.lá.kop/,alakop,N/A,N/A,Mo masdem alakopen si anak ta adi ig malatngalatngan.,During the night protect your child so it will not be exposed to the wind.,N/A,N/A,,alakop
alakopen,Verb,"To shelter, as a hen sheltering chicks under its wings or a mother sheltering her child from the wind.",/a.lá.ko.pen/,alakop,-en,Suffixation,Mo masdem alakopen si anak ta adi ig malatngalatngan.,During the night protect your child so it will not be exposed to the wind.,N/A,N/A,Present Tense,alakopen
alakowak,Noun,A kind of sugarcane; to plant or gather this sugarcane.,/a.la.kó.wak/,alakowak,N/A,N/A,Eskantako nan bowagtakos alakowak.,Let's plant our field with sugarcance.,N/A,N/A,Common Noun,alakowak
alasaas,Verb,To whisper; to speak softly.,/a.la.sá.as/,alasaas,N/A,N/A,In-al-alasaas at inkali tay nasaek. ,He speaks softly because he has laryngitis.,N/A,N/A,,alasaas
alawag,Verb,"To address a person by name in order to attract their attention, especially in prayers.",/a.lá.wag/,alawag,N/A,N/A,Iyalawag na nan apoda ay nan manakit an dida.,"He calls upon their grandfather who was killed by Sadanga people, because they believe it is he who made them sick",N/A,N/A,,alawag
alawas,Verb,"To take a short-cut; to intercept, as an enemy.",/a.lá.was/,alawas,N/A,N/A,Alawas enyo sa nan bosol tay sanay omey si wail.,You go and meet the enemy since he is going down to the stream.,N/A,N/A,Present Tense,alawas
alawig,Verb,A ceremony performed before visitors are allowed to enter teh village to attend a wedding ceremony; to perform this ceremony.,/a.lá.wig/,alawig,N/A,N/A,"Ilaenyo ta maalawig ona am-in nan mangili, sada somaal sinan babaley.",Make sure the ceremony is performed before the outsiders enter the village.,N/A,N/A,,alawig
alawit,Verb,"To be fickle or easygoing; to follow anyone who happens along, of a dog which does not have a strong allegiance to its master.",/a.lá.wit/,alawit,N/A,N/A,Adika gawis si ib-a ay in-obbo tay kanegka aso ay ig maal-alawit sinan teken mo awisenda sik-a.,"You are not good as member of a working group, because you go along with others, like a dog, when they persuade you.",N/A,N/A,,alawit
albobong,Verb,"To swarm over, as flies on meat.",/al.bó.bong/,albobong,N/A,N/A,Inalbobongan nan laleg nan watwat.,Flies are swarming over the meat.,N/A,N/A,,albobong
albowang,Verb,"To surround, of people sitting or standing around looking at something out of curiosity.",/al/bo.wang/,albowang,N/A,N/A,"Ay anay kay tay igkayo omaakbowang, kaymo nateyak?","Why are you standing around looking at me, am I dead?",N/A,N/A,,albowang
aldob,Verb,"To drink down the solid with the liquids, as rice wine or soup.",/al.dob/,aldob,N/A,N/A,Inaldob Sokoken am-in nan tapey.,Sokoken drank all the rice beer.,N/A,N/A,,aldob
alem,Verb,To court.,/á.lem/,alem,N/A,N/A,Ngaag nan al-alem tay ig omipaspasmek.,It's not good to court because it only gives you a troubled mind.,N/A,N/A,,alem
aleng-eng,Noun,"A soft, rythic, courting song, sung by young men when visiting in the girls' sleeping houses.",/a.leng.eng/,aleng-eng,N/A,N/A,Mangaleng-engtako tai omala nan mamaggit si doglaentako.,Let's sing a song so that the young girls will go and get something for us to drink.,N/A,N/A,,aleng-eng
algew,Noun,Sun.,/al.gew/,algew,N/A,N/A,Igkami naalgewan ad gogga ay insamal.,We were really exposed to the sun yesterday while cultivating the pondfiled.,N/A,N/A,,algew
ali,Noun,Arrival,/á.li/,ali,N/A,N/A,Ad kamana nan alim?,When did you arrive?,N/A,N/A,,ali
ali,Verb,To come; to bring. Implies motion towards speaker or speaker's home.,/á.li/,ali,N/A,N/A,Esaka omali is abongmi.,Go to my house.,N/A,N/A,,ali
alibokawkaw,Verb,"to be dark, as within a room without lights.",/a.li.bo.kaw.kaw/,alibokawkaw,N/A,N/A,Mamatangka tay ig in-alibokawkaw.,Make a light because it is very dark.,N/A,N/A,,alibokawkaw
alibongetnget,Verb,"To be pitch black, without glimmer of light.",/a.li.bo.nget.nget/,alibongetnget,N/A,N/A,Somgepkas osok ta ilaem ig in-alibongetnget.,You enter into the tunnel and see how dark it is.,N/A,N/A,,alibongetnget
alig,Verb,Comparison; to compare; to liken; yp ise as an example.,/á.lig/,alig,N/A,N/A,Adita lawa ig insaksakbat sinan dadakkel ay bato tay kim iyalig nan awakmo as nan ib-am ay manakneg.,"Don't attempt to carry a big stone, you are comparing yourself with your companions who are strong.",N/A,N/A,,alig
alikotokot,Verb,To cause a disturbance; to create confusion.,/a.li.ko.tó.kot/,alikotokot,N/A,N/A,Ay ne man nan digmo alikotokoten si baleg?,What are you hunting around for in the loft?,N/A,N/A,,alikotokot
alikotokoten,Verb,To cause a disturbance; to create confusion.,/a.li.ko.tó.ko.ten/,alikotokot,-en,Suffixation,Ay ne man nan digmo alikotokoten si baleg?,What are you hunting around for in the loft?,N/A,N/A,Present Tense,alikotokoten
alilis,Noun,Youngest child in a family.,/a.lí.lis/,alilis,N/A,N/A,Si Dangayo nan alilis.,Dangayo is the youngest child in the family.,N/A,N/A,,alilis
alimodeng,Verb,To be unconscious; to be knocked out.,/a.li.mo.deng/,alimodeng,N/A,N/A,Sinontokna ya aped naalimodngan.,He was punched and just went unconscious.,N/A,N/A,,alimodeng
alimon,Verb,To swallow whole.,/a.lí.mon/,alimon,N/A,N/A,Naskel nan aso tay inalimon na nan tong-al.,The dog has something stuck in his throat because he swallowed the bone whole.,N/A,N/A,,alimon
alindadek,Verb,To hiccough.,/a.lin.da.dek/,alindadek,N/A,N/A,Ig naawni nan alindadek ko.,It took a long time for my hiccoughs to stop.,N/A,N/A,Present Tense,alindadek
alingasog,Noun,Steam.,/a.li.ngá.sog/,alingasog,N/A,N/A,Bokatam ta omalingasog nan kalotoy makan.,"Open the pot, so the newly cooked rice can steam.",alingasew,N/A,,alingasog
alinsawad,Verb,To urge forward; to perform a task hurriedly.,/a.lin.sá.wad/,alinsawad,N/A,N/A,Igda iyaalinsawad ay indono tay dowa masdem.,They are doing their work faster because it is becoming dark.,N/A,N/A,,alinsawad
alipadpad,Verb,To tramp; to stamp the feet; to have the sound of heavy footsteps.,/a.li.pad.pad/,alipadpad,N/A,N/A,Teken sas in-agal tay in-al-alipadpad.,When he cries he stamps his feet.,N/A,N/A,,alipadpad
alis,Verb,"To transfer to someone, of something that can be partially retained, as a sickness which is contagious, or practices which can be taught; to transfer an object from one place to another; to shift, as from one residence to another.",/á.lis/,alis,N/A,N/A,Adika maisagsag-en an tona tay as maalisankas nan sakitna.,Do not come close to this person or you will catch her sickness.,N/A,N/A,,alis
alis-is,Verb,"To separate out the bad from the good, as a heap of beans sticks or clothes.",/a.lis.is/,alis-is,N/A,N/A,Alis-isam nan adi natolek ay itab.,Separate out the diseased beans.,N/A,N/A,,alis-is
alis-isam,Verb,"To separate out the bad from the good, as a heap of beans sticks or clothes.",/a.lis.i.sam/,alis-is,-am,Suffixation,Alis-isam nan adi natolek ay itab.,Separate out the diseased beans.,N/A,N/A,Present Tense,alis-isam
alistag,Verb,"To displace, as a rock in a wall when one stands upon it.",/a.lis.tag/,alistag,N/A,N/A,Ay anay tay alistagem nan toping si gongo?,Why are you knocking the rocks in the pigpen wall out of place?,N/A,N/A,,alistag
alistagem,Verb,"To displace, as a rock in a wall when one stands upon it.",/a.lis.ta.gem/,alistag,-em,Suffixation,An anay tay alistagem nan toping si gongo?,Why are you knocking the rocks in the pigpen wall out of place?,N/A,N/A,Present Tense,alistagem
aliweng,Verb,Dizzy.,/a.li.weng/,aliweng,N/A,N/A,Maal-aliweng tay naboteng.,"He is dizzy, because he is drunk.",N/A,N/A,,aliweng
allang ,Noun,"A storehouse for palay, camote, and wine.",/a.lang/,allang,N/A,N/A,"In-inut i allang ta, agsagaba to pay laing.","We carefully put the rice in the granary, so it won’t get spoiled.",N/A,N/A,"Common Noun
Concrete Noun
Countable Noun",allang
