,part_of_speech,meaning_english,meaning_filipino,sample_bolinao,sample_english,upos,word
agrunumya,n,"Agronomy , branch of agriculture which deals with crop production, soil and water management.",Agronomia.,Si sayay tawo nin nag'adal maipa'ka' saagrunumyatanda' na no ani a sakit nan tanaman o a insikton mampanida'.,A person who studiedagronomyknows the disease affecting the plant or the kind of insect that is destroying it.,NOUN,
agsaw,n,"Awe, a great fear with sudden wonder and cry out.",Sindak; pagkasindak.,Agsawran tutawo sin tinumrak yay bomba atumika.,The people were filled withawewhen the atomic bomb exploded.,NOUN,
agsit,n,"Shrill, piercing cry due to terror, surprise or sudden pain.",Tili.,Marnge' koyagsitnan anak nin man'ambaken nan ama na.,I hear the shriek of the child being whipped by his father.,NOUN,
agtay,n,"Liver, the body organ that cleanses the blood and produces bile that is stored in the gall bladder to aid digestion.",Atay.,"Sawanin, sali' no makataway akoyna ninagtaynin baboy.",Today maybe I can really taste theliverof a pig.,NOUN,
aguhon,n,"An instrument for showing directions, compass.",Bagay o instrumento na ginagamit upang matukoy ang direksyon.,Mangawit akonaguhonno mako ako nin tumaaw no delem ta pigaw nin kai ako mabarang.,I take along acompasswhen I go fishing on moonless night so that I will not get lost.,NOUN,
agumen,vo,To greedily desire something something that belongs to someone else and attempt to get it.,Pag-imbutan.,Agumenray luta' mo.,Theycovetyour land.,VERB,
agur'or,n,Loud sob.,Hagulgol; tangis.,Marnge' aagur'ornan nabalo sa kapitangan nin yabi.,The loud sob of the one widowed could be heard in the middle of the night.,NOUN,
agusan,vl,Place through which liquid flows.,Agusan.,Agusan nin ranom no rapeg a mula kon kalubasa kanya' nin nalnak.,When it rains the water flows into my squash patch and so they wither up and die.,VERB,
aguso,n,Pine tree.,Puno ng pino.,Main nin ma'kit nin aguso abirno adti sa Baguio.,Pine trees can be seen anywhere in Baguio.,NOUN,
agwa,n,Perfume water.,Pabango.,Abaw ilako' ninagwabale' mabli.,There are a lot ofperfumesfor sale but they are expensive.,NOUN,
agwa-bindita,n,Holy water.,Agwa-bendita.,"Tepe' nin si sayay tawo ket sumrep ya sa simbaan, ikudos nayagwa-bindita.","Every time a person enters the church , she makes the sign of the cross withholy water.",NOUN,
agwa-plurida,n,Scented-water that relieves dizziness or awakens from a faint.,Agwa-plorida.,Paangutan moyanagwa-pluridata maulaw ya.,Have her smellsmelling saltsfor she is feeling dizzy.,NOUN,
agwa-uksihinada,n,Hydrogen peroxide.,Agwa-uhsihinada.,,,NOUN,
agwang,n,"To accept or get something non-physical like a job, responsibility, etc.",Tanggap.,Ayupa' agwang na ni Bimbo ta daite' yan tawo.,Bimbo's reach is short since he is a small person.,NOUN,
agwangen,vo,"To accept something such as responsibility, recognition, etc., handed down by an authority.",Tanggapin.,Agwangen ma pay nakakatin nin baskit ta kai koya nin maabot.,Please reach for the basket that is hung up for I cannot reach it.,VERB,
agwano,n,"Fertilizer, usually commercial but may be manure or other materials.",Pataba.,Madali' nin umalaki a mula no main nin agwano.,Plants grow quickly if they have fertilizer.,NOUN,
agwanta,n,"Perseverance, the ability to endure.",Tiisin; magtiis.,Matkap a agwanta sa idap nin byay sawanin.,Endurance is needed for the difficulty of life nowadays.,NOUN,
agwantawan,vl,To endure or persevere in something.,Tiisin.,Agwantawan mo a sakit.,Endure the pain.,VERB,
agwanwan,vl,To apply fertilizer.,Abonohan.,Alalaki a binibi nin mais na ni Pepito ta inagwanwan na.,Pepito's ears of corn are large for he applied fertilizer.,VERB,
agwardyinti,n,Pure refined alcohol specially used as disinfectant by woman who had just given birth.,Alkohol; agwardiyente.,Miapros akonagwardyintisa lalaman ta pigaw nin maglat saray mikrubyo.,I'll rub my body withalcoholin order to remove germs.,NOUN,
agyo',n,Someone who has the same name as another person.,Tukayo.,Agyo' naya ni Joy a maistra na.,Joy's teacher is her namesake.,NOUN,
ah,intrj,An interjection of surprise or indicating misunderstanding.,Ano?,"Andi' ka miikap nin sakapigo no bukod modti sa bali, ah?",Don't play with the matches when you are alone in the house. Understood?,INTJ,
ahinsya,n,"An agency, a company that provides a specialized service to their clients.",Ahensya.,Main ahinsya na ni Braulio nin mamin trabaho sa gwardya.,Braulio has an agency that gives work to guards.,NOUN,
ahinti,n,A representative usually for sales for a company.,Ahente.,Ahintiyan siguro.,He is an insuranceagent.,NOUN,
ahit,n,"The act of trimming such as the eyebrow, sideburns, armpit hair, leg hair, etc.",Ahit.,Nasubrawan a ahit nin kiri na ni Rizza ket maimpis tanay nabati'.,The trimming of Rizza's eyebrow was excessive and so what is left is now thin.,NOUN,
ahiten,vo,"To trim or shave hair such as eyebrow, beard, etc.",Ahitin.,Andi' mo nin ahiten a barbon mo ta maksir no tumubo'.,Do not shave your arm/leg hair because when it reappears it is coarse.,VERB,
akapulko,n,The candle bush.,Akapulko.,,,NOUN,
akas,n,The act of the removal or emptying of something from its function.,Tanggal.,Paspas a akas na sa nipalasta nan lako' nan aysing ta rapeg ana.,His emptying of the clothing for sale from the display rack was fast for it started to rain.,NOUN,
akasen,vo,To remove something from a particular function such as clothes from a drying area or items from a display or dismantling a tent.,Tanggalin.,Akasen yay pasabing no kasan makalap ana.,The fish corral is taken out of use when there is nothing being caught.,VERB,
akasya,n,Acacia tree having large branches and profuse small roundish leaves whose flowers are rose colored and its fruit is similar to the tamarind.,Akasya.,Mabistay painawa sa sirong ninakasya.,It is nice to rest under theacaciatree.,NOUN,
akawntant,n,A person who has passed the board examination for Certified Public Accountants.,Akawntant; kontador de libro; tagatuos.,Maidap a iksamin paraakawntant.,The examination foraccountantsis hard.,NOUN,
akay,n,"A teaching, knowledge or skills that is passed on to a person.",Turo.,Man'ibarita' mi komoyo aakaynan Catawan.,We are telling you the Lord'steachings.,NOUN,
akayan,vl,To teach someone something.,Turuan.,"Saray matua, matkap a akayan rasaran magtrabaho a a'nak.",Parents must teach their children how to work.,VERB,
akeng,n,The name by which the monkey was called in folktale.,Matsing; tyunggo; unggoy.,Mataway angko a agtay na niAkeng.,Perhaps Akeng'sliver is delicious.,NOUN,
akipot,adj,"For a place, thing or area to be reduced in size compared to a norm or what is needed and so is constricted or narrow.",Makipot.,Si akipot nin purta a serpan moyo sa Pag'adian nan Dios.,It is the narrow door that you should enter to the kingdom of God.,ADJ,
akiputen,vo,To make a place to pass through narrower or more constricted.,Kiputan.,Andi' ma akiputen a dalan no mangalabat ka pigaw makalabas et a traysikel.,"When you put up a fence, don't narrow up the path so that the tricycles can still pass through.",VERB,
akis,n,"A cry or weeping from either sorrow, pain or joy.",Iyak.,Iyadi-adi nan anak a akis na.,The child is trying to hide her cry.,NOUN,
akisan,vl,To cry about something or for someone.,Iyakan.,Man'akisan raya antaran mangkikiten ray asok nan si mangkapuuran nin syudad.,They were crying for the burning city while watching the smoke from it.,VERB,
akitir,adj,For an object to be small in width such as in a piece of clothing or a chair.,Makitid.,Akitiryay katri para sa rwa katawon ma'lek kona.,The bed iscrampedfor two people to sleep on it.,ADJ,
akitiren,vo,To reduce the width of a flat object.,Kitidan.,Andi' mo akitiren a gaw'en mon apay pinggat magawa' idaan nin rway tawo.,Don't reduce the width of the mat you make so that it can accommodate two people lying down.,VERB,
akkinsi,adv,Fifteen to each thing such as the fare in a jeep or cost per item bought.,Tigkikinse.,"Say barang sayay kasisyawan kaalaki nin kuna', gumli nin akkinsi.",Each medium-sized fish is valued at fifteen each.,ADV,
aklaw,n,Something moved into place to serve as a barrier or an obstacle that prevents a person or an animal from getting away.,Hadlang.,Aklaw nan ina konan anak nin mangkumamat konan tatay na.,The mother blocked the the child who was running after his father.,NOUN,
aklawan,vl,To put up a barricade or restraint to keep something from escaping.,Saklawan; barikadahan.,,,VERB,
ako,pr,Ias grammatical subject.,Akó.,Kisalamatako.,Iam conveying my thanks.,ADP,
ako',inf,Accept or admit someone or something.,Ákò.,Ako' ya tana nin ako' si Pablo sa man'iparsa ran pulis kona.,Pablo is just repeatedly admitting the accusations against him by the police.,VERB,
akot,n,Something transported in quantity or by the load usually in more than one trip.,Hakot.,Abaw nin akot nin buyangin a matkap no mangwa' akon bali.,There will be many loads of sand that will be needed when I build a house.,NOUN,
akrebey,inf,Profuse as in sweating or shedding of tears.,Tagaktak.,Ma'kit a akrebey nin lwa' na nin anak bale' kasan marnge' nin akis na.,The profuse shedding of the child's tears can be seen but no crying from her can be heard..,VERB,
akrop,n,The act of scooping out with the hands.,Dakot.,Abaw a akrop mo nin byas ta alalaki a gamet mo.,There is a lot of rice in your hand-scoop since you have bigger hands.,NOUN,
akrupen,vo,To scoop or gather something with one or two hands.,Dakutin.,Akrupenmoy na'met nin byas.,Scoopthe spilled rice up with your hands.,VERB,
aksibi,inf,The act of acceptance of something.,Tanggap; ako.,Iprisinta yay pruyikto konan prinsipal para sa aksibi na.,The project will be presented to the principal for his acceptance.,VERB,
aksibyen,vo,"To accept, receive or admit something or someone.",Tinanggap; inako.,Inaksibi na ni Hector a rispunsibilidad ninHeperan CVO.,Hector accepted the responsibilities of the Chief of the CVOs.,VERB,
aksidinti,n,An accident.,Aksidente.,"Say aksidinti, makapati nin main byay.",Accidents can kill the living.,NOUN,
aksyon,n,"Action on a proposition, request or case.",Pasya.,Kasa gaponaksyonna ni Miyor sa kadawatan nan barangay.,The Mayor has had no action pertaining to the request of the baranggay.,NOUN,
aksyunan,vl,To act upon something.,Aksyonan.,,,VERB,
aktibidad,n,An activity.,Aktibidad.,Masakbay nin nayadi' a aktibidad ra ni Ramon sa plasa bana' sa bagyo.,The activities of Ramon's group finished early because of the storm.,NOUN,
aktibo,adj,To be involved in something and working energetically as for a cause.,Aktibo.,"Aktibo yay anak, kai ya gapo nin mititinek sa sayay lugar.",The child is active; he will not be quiet at all in one place.,ADJ,
akto,n,"The point in time at which something happens, then and there.",Akto; gawa.,Nadakep rayan pulis saakto.,He was caught by the police in the veryact.,NOUN,
aktor,n,"Actor, a male person whose job is acting in plays or films.",Aktor; artista.,Si Jan Michael Vincent a rabay-rabay kon aktor.,Jan Michael Vincent is my favoriteactor.,NOUN,
aktuwan,vin,To act on.,Aktuhan.,Inaktuwanrayay papilis ko.,My papers have now beenactedupon.,VERB,
aktwal,adj,It is emphasizing that you are refining to the specific thing mentioned and not to the other things associated with it.,Aktwal; tunay; totoo.,Na'kit koyaktwala nangyadi' kanya' a kai mo nin maibudi'.,I saw the actual happening so you can't deny it.,ADJ,
akudi',n,The act of rigorously following through.,Ipagpatuloy.,Kai nin maila'pos a trabaho no kurang sa akudi'.,Work cannot be finished if the follow through is lacking.,NOUN,
akudyen,vo,To do or attend to something continuously and seriously.,Atupagin; sikhayin; sikapin.,Akudyenmoy mamasan pirmi nin liksyon mo.,Attend religiously to readingyourlessons.,VERB,
akuen,vo,To admit or acknowledge the truth of something.,Akuin.,Akuenmo payti say rigalo kon mabulos a nakem.,Pleaseacceptthis gift which is freely given.,VERB,
akulaw,n,Old woman.,Matandang babae.,"Antaakulawyayna, abaw et a magawa' nan trabaho..","Despite the fact that she is now anold woman, she still can do a lot of work.",NOUN,
akumpanya,n,Accompanying music.,Saliw.,,,NOUN,
akumpanyawan,vo,For someoneto accompanya singer or another player by playing music.,Saluhan; sabayan.,Akumpanyawanmangitara a balasang a mangansyon.,Accompany with the guitar the young woman who will sing.,VERB,
akurdyon,n,"Accordion,a wind instrument having keys and metal reeds which works by means of bellows.",Akordiyon.,Say tunoy nanakurdyonbara'mon urgano.,The sound of anaccordionis like that of an organ.,NOUN,
akusa,n,"Accusation, complaint or charge against someone.",Reklamo; sumbong; sakdal; habla.,"Say akusa mo kona, magwa' tutuo; magwa' lamang kai.","Your accusation of him, it may be true, it could on the other hand not be.",NOUN,
akusado,n,"The accused, the person or persons against whom a charge is brought.",Akusado.,Akusadoya si Juan ta nadakep yan nanakaw manok.,Juan is theaccusedsince he was caught stealing a chicken.,NOUN,
akusawan,vl,To accuse someone of something.,Akusahan; paratangan; pagbintangan.,Akusawan rayan nanakaw a tawo.,They will accuse the person of stealing.,VERB,
akusawen,vo,To accuse someone of something.,Ibintang.,Inakusaraya nin nanakaw nin manok.,Theyaccusedhim of stealing the chickens.,VERB,
akusta,inf,To attentively gather and prepare things for a certain purpose.,"Panninep tan panngngisadya' nin bagay-bagay nin matkap para sa sayay gagara bilang sa pagbibyahi, pag'aadal, pannadya' para sayay ukasyon, tan raruma et.",Kurang a akusta sa bubagay a matkap sa kasal na ni Janice kanya' nin abaw a kurang.,There was lack of paying attention to things needed in Janice's wedding and so there were many things that were missing.,VERB,
akustawen,vo,"To gather and get ready things for a certain purpose like traveling, holding a party, etc.","tan isadya' a bagay-bagay nin matkap para sa sayay gagara bilang sa pagbibyahi, pag'aadal, pannadya' para sayay ukasyon, tan raruma et.",Akusatawen moy sarban matkap nin rikado.,Youprepareall the needed ingredients.,VERB,
akut'akot,n,"An insect with brown wings that looks like a small bumble bee and hauls soil to build its mud house on walls, etc.",Putakti.,Main balin akut'akot sa gubida tan ringring nan bali ko.,There are mud dauber houses on the ceiling and walls of my house.,NOUN,
akuten,vo,To haul something someplace in quantity and usually in more than one trip.,Hakutin.,Akutenmo in say bato ta ipanambak sa rigrig nan bubon.,Haulover those stones for they will be used to bank the walls of the well.,VERB,
akwaryum,n,Aquarium.,Akwaryom.,Saakwaryumma'kit saray mabibistan kuna' a say ngaran ragoldfish.,In anaquariumyou will find the beautiful fishes called gold fish.,NOUN,
al'al,adj,To be panting from exhaustion.,Hingal.,"Si damulag, al'al yayna.",The carabao is panting from exhaustion.,ADJ,
