Tuwali Words,Root Word,,Affixes,,English Translation,Tagalog Translation,Meaning,Part of Speech
am-ama-an,am-ama,-,-,-an,thumb; big toe,hinlalaki; hinlalaking daliri sa paa,thumb (of the hand) or the big toe (of the foot),Noun
am-amh’it,am-amh’it,-,-,-,little black ant,langgam,kind of small black ant,Noun
am-amhik,am-amhik,-,-,-,pygmy grasshopper,maliit na uri ng tipaklong,kind of small grasshopper,Noun
am-amuna,am-amuna,-,-,-,green praying mantis,berdeng sasamba-samba,green-colored praying mantis,Noun
am-in,am-in,-,-,-,all,lahat,"the whole of (used in referring to quantity, extent, or duration)",Adjectives
Am’ung,Am’ung,-,-,-,Am’ung,Am’ung,"ritual performed usually three days after a child’s birth, involving prayers, offerings, feasting, and naming of the baby, attended by friends and relatives",Noun
ama,ama,-,-,-,father,ama/tatay,father,Noun
ama-on,ama,-,-,-on,uncle,tiyuhin; tiyo,male sibling of either parent,Noun
amad,amad,-,-,-,rub,kuskusin,to wipe or rub eyes; especially to remove dirt particles or in order to see better,Verb
amam,ama,-,-,-m,your father,ama mo/tatay mo,your father,Noun
amamlong,amlong,am-,-,-,joy / happiness,saya / galak,a state of great pleasure,Adjectives
aman,ama,-,-,-n,father of,ama ni/tatay ni,father of,Noun
amana'y,ama,-,-,-na'y,the father of,ama ni/tatay ni,the father of,Noun
amayyus,amayyus,-,-,-,domestic animal; pet; livestock,alaga; alagang hayop,"domestic animal referring to cows, carabaos, pigs; generic term for large mammal-like animals",Noun
amb'un,b'un,am-,-,-,mob,nagkakagulong mga tao,to gang up on someone; to attack someone as a group,Verb
ambabala,ambabala,-,-,-,gemmed puffball mushroom,kabuteng kulay-ube,"gemmed puffball mushroom; edible, medium-sized, violet in color; grows in clumps in rice fields or in and around piled rice stalks",Noun
ambayung,ambayung,-,-,-,betelnut bag,lagayan ng nganga; supot ng nganga,"betelnut bag used by both women and men, hooked on the belt at the hip or the back; woven with red and black yarn and has a coiled brass handle",Noun
ambilog,ambilog,-,-,-,wide,malawak,having great extent; extending over a vast area,Adjectives
ambubulan,ambubulan,-,-,-,upper house frame,balangkas sa itaas ng bahay,"upper frame of a house, consisting of four pieces of wood forming a rectangle and supported by two parts called baknang",Noun
ambubuli,ambubuli,-,-,-,black carpenter ant,hantik; langgam,"big, black, biting ant; builds nests in cogon grass",Noun
Ambumabbakal,Ambumabbakal,-,-,-,Ambumabbakal,Ambumabbakal,fighter god; the son of the brother-sister gods Kabbigat and Bugan,Noun
Amduntug,Amduntug,-,-,-,Amduntug,Amduntug,barrio or village located south of Kiangan,Noun
amhit,hit,am-,-,-,deform,deform,"to be ugly, may be facial defect or other unattractive features; refers to natural appearance",Verb
amih,amih,-,-,-,bully,bully,to pick on someone even if it is not his fault; to bully because someone is helpless or not capable of defending himself nor of retaliating,Verb
aminul,aminul,-,-,-,salivate,maglaway,"to salivate; mouth watering, esp",Verb
amit,amit,-,-,-,climb,umakyat,"to climb or scale houses, trees, stonewalls",Verb
amki,amki,-,-,-,squirrel,ardilya,squirrel-like animal commonly found in the forest,Noun
amlag,amlag,-,-,-,gather,magtipon,"to gather clothing and other things such as ampuyo 'skirt', attake 'necklace' balko 'belt', coins and place them in a winnowing basket, ligau",Verb
amlid,amlid,-,-,-,untangle,kalasin,to smooth out; to disentangle,Verb
amlong,amlong,-,-,-,content,nalulugod,refers to a feeling of well-being and contentment,Adjectives
amlong na,amlong,-,-,-na,happiness,kasiyahan,his or her feeling of happiness or joy,Adjectives
ammod,ammod,-,-,-,parents; elders; relatives,mga magulang; mga nakatatanda; mga kamag-anak,"refers to one’s parents, older relatives, or elders belonging to the same generation as one’s parents",Noun
ammu,ammu,-,-,-,suffice,sapat na,to be of sufficient quantity; to be enough of a quantity,Verb
ammuna,ammuna,-,-,-,he/she already knows,alam niya na,he/she already knows,Verb
ammung,ammung,-,-,-,contribute,mag-ambag,to contribute money to a cooperative group,Verb
ammuyu,ammuyu,-,-,-,volunteer,boluntaryo,refers to someone who works without pay or does volunteer work,Noun
amnu,amnu,-,-,-,fulfill,tuparin,to fulfill,Verb
amo,amo,-,-,-,jealously,selos,being jealous,Adverb
amo,amo,-,-,-,take a bath,maligo,to take a bath,Verb
amohan,amo,-,-,-han,someone they are jealous of,kinaka-inggitan,someone they are jelous of,Noun
ampa,ampa,-,-,-,tick,garapata,"small parasitic insect that attaches to animals such as cows, carabaos, and dogs",Noun
amping,amping,-,-,-,slap,sampal,to slap the face,Verb
ampit,ampit,-,-,-,disqualify,disqualify,to be disqualified;to be screened out; to be eliminated,Verb
amput,amput,-,-,-,garlic,bawang,"pungent root bulb commonly used as a spice or condiment in cooking; also used as traditional medicine, such as being rubbed on insect bites or sprains",Noun
Ampuwal,Ampuwal,-,-,-,Ampuwal,Ampuwal,name of the source god in Ifugao mythology,Noun
ampuyo,ampuyo,-,-,-,ampuyo,ampuyo,"traditional skirt typically worn by Ifugao women, especially of the kadangyan or aristocratic class. It is woven on a native loom",Noun
amta,amta,-,-,-,know,alam,to know; to recognize,Verb
Amtalao,Amtalao,-,-,-,Amtalao,Amtalao,Proper name of the father of Aliguyon,Noun
amti,amti,-,-,-,amti plant,amti,bush variety that bears tiny berry-like fruits; its leaves are gathered and eaten as food or used as a vegetable,Noun
amugawon,amugawon,-,-,-,yellowish hardwood tree,punong amugawon,"yellowish hardwood tree variety commonly used as material for house posts, flooring, and other construction needs",Noun
amuli,amuli,-,-,-,yorkshire pig,baboy na yorkshire,a white pig,Noun
amulilit,amulilit,-,-,-,house lizard; gecko,butiki; tuko,"small reptile commonly found in houses. Its call is traditionally believed to be a sign that visitors will arrive, and the direction of its call indicates where the visitors will come from",Noun
amung,amung,-,-,-,assemble,magtipon,for people to gather in a group,Verb
amunin,amunin,-,-,-,wildcat-like animal,amunin,wildcat-like animal that lives in the forest. It is rarely seen and is known to be elusive,Noun
Amuyaw,Amuyaw,-,-,-,Amuyaw,Amuyaw,highest mountain peak in Ifugao,Noun
amuyu,amuyu,-,-,-,pity,kawawa naman,to feel compassion for the suffering of someone; to pity,Verb
amuyuwon,amuyuwon,-,-,-,amuyuwon tree,punong amuyuwon,"tree variety; according to tradition, Wigan, god of the Skyworld, taught the Ifugao how to carve bulul statues from the wood of the amuyuwon tree.",Noun
an,,-,-,-,N/A,N/A,links a main clause and a complement clause.,
An,an,-,-,-,interrogative marker,ba,interrogative or question marker,Pronoun
an-an,an,an-,-,-,remain,manatili,to remain behind; stay behind to guard house,Verb
an-anlaon,anlaon,an-,-,-,tease,panunukso,to tease someone; to scare someone,Verb
an-anu,anu,an-,-,-,harm,pinsala,to do something harmful,Verb
an’ak,an’ak,-,-,-,child; son; daughter,anak,"person’s offspring, a son or daughter. Used to indicate a parent-child relationship",Noun
an'ay,an'ay,-,-,-,wail,humagulgol,to continue to cry out with pain,Verb
an'up,an'up,-,-,-,hunt,manghuli,to hunt for animals,Verb
an'uy,an'uy,-,-,-,float,lumutang,to swim with the current using feet with only head/face exposed,Verb
Ana,Ana,-,-,-,Ana,Ana,woman’s name that likely entered the language during the American period,Noun
anad,anad,-,-,-,peel,balatan,"to peel vegetables before cooking; knife is used, also used of peeling fruit like papaya",Verb
analdung,analdung,-,-,-,analdung tree,punong analdung,"tree variety with soft, light wood that is good for carving but poor for firewood because it burns quickly",Noun
anamut,anamut,-,-,-,go home,umuwi,to go home / to return home,Verb
anamutan,anamut,-,-,-an,when I go home,pag-uwi ko,the time or condition referring to one's return to home,Adverb
anangnga,anangnga,-,-,-,wear,magsuot,to wear a rain-cover,Verb
anap,anap,-,-,-,search,paghahanap,to look for; to search,Verb
anawa,anawa,-,-,-,console,console,"to console; to pacify; to keep someone from crying; to interpose, mediate, reconcile, or settle",Verb
anay-ayyamon,ayayam,an-,-,-on,playing,nilalaro,"engaging in recreation, amusement, or activity done for enjoyment",Verb
andong,andong,-,-,-,straighten,ituwid,"to be straight; refers to something which has the attribute of being straight, not bent",Verb
ane,ane,-,-,-,decay,pagkabulok,to be eaten by termites,Verb
angdud,dud,ang-,-,-,reek,amoy,"a particular bad, goat-like smell",Verb
ange,ange,-,-,-,check,suriin,to inspect a snare trap to see if something was caught; the activity is in view,Verb
anggulud,gulud,ang-,-,-,snore,hilik,to snore; rale - the abnormal sound of breathing when one has a cough or cold,Verb
anghiw,hiw,ang-,-,-,nip,nip,to bite quickly and slightly; to nip; done by animals,Verb
anghog,hog,ang-,-,-,stink,mabaho,"body odor, usually from the armpit",Verb
angilit,ilit,ang-,-,-,sting,sumakit,"smell, pungent-acidic as when citrus fruit is peeled",Verb
angit,angit,-,-,-,provoke,pukawin,to look for trouble; to invite trouble; court trouble; to ask for it,Verb
angiw,angiw,-,-,-,drool,laway,to drool; to salivate,Verb
angngal,angngal,ang-,-,-,vie,makipaglaban,to compete in a contest of wealth,Verb
angop,angop,-,-,-,blur,lumabo,"indistinguishable, hazy object; barely visible because it is seen from a distance",Verb
angyub,angyub,-,-,-,fan,tagahanga,"to produce a stream of air by using a bellows, directed to fire",Verb
anidu,anidu,-,-,-,warm,mainit-init,to warm oneself near the fire,Verb
anikdul,anikdul,-,-,-,pound,libra,"to make a pounding noise on floor or walls, often done by children playing",Verb
anilong,anilong,-,-,-,ivy,halamang baging,an ivy plant variety,Noun
anla,anla,-,-,-,happy,masaya,feeling or showing pleasure or contentment,Adjectives
anlan,anla,-,-,-n,happiness of,"saya,tuwa","happiness, joy, or delight",Adjectives
annad,annad,-,-,-,careful,maingat,"making sure of avoiding potential danger, mishap, or harm; cautious",Adjectives
annakaya,annakaya,-,-,-,truly,tunay,Emphasizes truthfulness of action.,Adverb
annamin,am in,an-,-,-,all,lahat,"everything, all, the entirety",Adjectives
annaminda,am in,an-,-,-da,all of them,silang lahat,all of them,Pronoun
annil,annil,-,-,-,envy,inggit,to be jealous; applied to a married couple; has components of possessiveness and suspicion,Verb
annung,nung,-,-,-,fulfill,tuparin,"to fulfill a wish, desire, a promise or a prophecy; to come true",Verb
annunu,nunu,an-,-,-,descend,bumababa,an agent slides down to a slower level,Verb
anoka,anoka,-,-,-,what-you-may-call-it,N/A,an expression standing for anything unknown or forgotten at the moment,Pronoun
antak,antak,-,-,-,gather,magtipon,"to go and gather string beans, usually with the purpose of selling at the market",Verb
antam,antam,-,-,-,sour,maasim,sour; for something to have a sour taste,Verb
antipe,tipe,an-,-,-,why is it,bakit,interrogative pronoun; used in asking the reason for something,Pronoun
anus,anus,-,-,-,endure,magtiis,to be patient; describes a person who endures dificulties with patience,Verb
anus,anus,-,-,-,patient,mapagpasensya,"able to accept or tolerate delays, problems, or suffering without becoming annoyed or anxious",Adjectives
ap-ap,ap,ap-,-,-,spread,paglaganap,"to spread a covering over a surface, such as a bed or table",Verb
ap-apu,apu,ap-,-,-,lead,nangunguna,to lead; to rule,Verb
ap'uy,ap'uy,-,-,-,ignite,mag-apoy,to build a fire,Verb
apangdan,apangdan,-,-,-,pack,pack,to place something in a backpack,Verb
apap,apap,-,-,-,slap,sampal,to slap someone on the face,Verb
aparador,aparador,-,-,-,store,tindahan,to place something in a closet or use a closet,Verb
apatut,apatut,-,-,-,shoe,sapatos,to wear shoes,Verb
apayo,apayo,-,-,-,trap,bitag,to use a fish trap for catching fish,Verb
apektar,apektar,-,-,-,affect,umaapekto,affect or to influence someone,Verb
apektaran,apektar,-,-,-an,influence,impluwensya,to have an effect on the character,Verb
apgad,apgad,-,-,-,salty,maalat,"tasting of, containing, or preserved with salt",Adjectives
apiit,apiit,-,-,-,singe,singe,smell of burning feathers or hair; singeing smell,Verb
apin,apin,-,-,-,line,linya,to line a container with leaves for cooking rice; to cook rice,Verb
apit,apit,-,-,-,harvest,ani,"to harvest, may be used regarding any crop",Verb
aplag,aplag,-,-,-,cover,takip,to spread to cover s,Verb
aplut,aplut,-,-,-,wipe,punasan,to rub the entire length; to strip something by using the palm of the hand; remove clinging things; to wipe by closing hand around object,Verb
apnal,apnal,-,-,-,scatter,magkalat,"to distribute something over an area, e",Verb
apnga,apnga,-,-,-,welcome,maligayang pagdating,to welcome people into homes or to participate in special occasions; be hospitable,Verb
appa,appa,-,-,-,oops,naku,"expression of apology, surprise, dismay",Interjection
appad,appad,-,-,-,snare,patibong,to trap birds,Verb
appade,pade,ap-,-,-,cluster,kumpol,"to be crowded together in groups; group together, e",Verb
appaku,paku,ap-,-,-,forage,pagkain,to gather fern shoots,Verb
appid,appid,-,-,-,braid,tirintas,"to braid hair, three or more strands",Verb
appil,appil,-,-,-,separate,ihiwalay,to move or be apart,Verb
appit,appit,-,-,-,sacrifice,sakripisyo,to offer something to a god or spirit,Verb
appo,appo,-,-,-,overtake,matalo,"to overtake, as in a race to compete or complete",Verb
appowan,appo,-,-,-wan-,overtake,talunin,to overtake someone,Verb
apputona,apput,-,-,-ona,headload,pasan,his/her load on the head or the thing he/she carries on the head,Noun
apu,apu,-,-,-,grandfather or grandmother,ninuno/lolo/lola,my grandparent / my ancestor,Pronoun
Apu Dios,Apo Dios,-,-,-,God,Diyos,Proper noun referring to God,Noun
apul,apul,-,-,-,lime,kalamansi,to use lime powder and place it on a betel nut chew,Verb
apulidu,apulidu,-,-,-,surname,apelyido,to use a particular name as a family name,Verb
apun,apu,-,-,-n,grandfather or grandmother of,ninuno ni/lolo ni/lola ni,grandfather or grandmother of,Pronoun
apunge,apunge,-,-,-,stroke,stroke,to caress by pushing the hair away from the face; related to the expression of joy at seeing someone who has not been seen for a long time,Verb
apupu,apupu,-,-,-,hug,yakap,to carry something at chest area embraced by arms,Verb
apuwap,apuwap,-,-,-,massage,masahe,to caress; rub gently a specific body part; massage,Verb
apuy,apuy,-,-,-,fire,apoy,fire,Noun
apuyon,apuy,-,-,-on,to burn / make fire,aapuyin,to set something on fire,Verb
apy'ut,apy'ut,-,-,-,squeeze,pisilin,"to press out contents; squeeze out the contents of something; to remove contents, e",Verb
apyu,apyu,-,-,-,anoint,magpahid,"to rub rice wine on the entire body, from head to toe, for the purpose of removing sickness; ritual massage, done in the ketema ritual",Verb
arina,arina,-,-,-,flour,harina,to put flour on something,Verb
arte,arte,-,-,-,dramatically,sabay-sabay / dramatiko,in a striking or exaggerated way,Adverb
asukal,asukal,-,-,-,sugar,asukal,to use or place sugar on something,Verb
at-aton,aton,at-,-,-,persist,magpumilit,to continually do something to a specific object or objects,Verb
at'op,at'op,-,-,-,roof,bubong,to construct a roof; to use as roofing,Verb
ata,ata,-,-,-,unripen,hindi hinog,"to be unripe, immature fruit; unripe, green fruit",Verb
