Iloko,English
ti mapa ket maysa a simbolo a mangiladladawan iti maysa nga lugar,a map is a symbol that represents a place
ti mapa ket mangted iti impormasion maipanggep ti lubong,the map gives information about the world
ti komunidad ket grupo ti tattao nga agnanaed iti maysa nga lugar,a community is a group of people living in one place
"aminnan: simbaan, abagatan: pagadalan, laud: balay, daya: tiendaan","north: church, south: school, west: house, east: market"
"babaen ti tulong iti mapa, masarakan mo ti lugar nga papanam","with the help of a map, you can find the place youre going to"
kas ti maladaga no matmaturog ni pito,like an angel when pito sleeps
ti ubing ket kas iti asukar ti kasamitna,the child is like sugar in sweetness
dagiti bituen ket kas iti diamante ti tangatang,the stars are like diamonds in the sky
ti baro ket kasla calculator,the young man is like a calculator
ti ugeng ket kasla kasipnget ti rabii,the fog is like the darkness of night
kasla manga kaalsem ti rupa na,his face is as sour as a mango
ni ona ket napintas kasla diay suot na a blusa,ona is beautiful like the blouse she is wearing
ti ima iti balasang kasla kalamuyot ti pungan,the ladys hand is as soft as a pillow
ti dutdot ket kas ti kapas kalagan,the feather is like cotton in lightness
ti trabahador ket kas ti alimbubuyog nga agtrabaho,the worker is like a bee working
ti trabahador ket kasla iti kuton nga agsapul,the worker is like an ant searching
ti kapanunotan na ket kas ti init kalawag,his mind is like the sun in brightness
dagiti cookies ket kas ti bato katangkan,the cookies are like stone in hardness
ni tatay ket kasla nuang nga agtrabaho,father works like a carabao
ti isem ni lina ket kasla init a mangted raniag,linas smile is like the sun giving light
ti panaggayyem ni ten ken pen ket kasla kasamit iti honey,the friendship of ten and pen is as sweet as honey
kasla ikan ni manong leon nga aglangoy,brother leon swims like a fish
kasla yelo ti lamiis diay ima ni tina iti buteng,tinas hands were as cold as ice in fear
alla adda napuuran a balai,oh no there is a burning house
ania ti paboritom a sidaen,what is your favorite dish
ti hardin ko ket panganak a makaregta ken makapasalun-at,my garden makes me relaxed and healthy
makaikawa ngem bassi-bassit nasursurok metten nga ubraen dagiti modiul,it's difficult but i'm learning little by little Ii learned how to do the modules
sapay la koma ta mapukawen ti daytoy a pandemia,i hope this pandemic will end
tapno makastrektayon ken makaay-ayam nga agkakadua,so we can meet and play together
agibaga iti bukod a padas,to share one's own experience
nadangran ti anakko siakon ti dumawat ti dispensar apo,my child got hurt i am the one asking for your pardon sir
ay adda ni apong maria kumusta kayo,oh apong maria is here how are you
agyamanak dagiti tulong nga impaayyo kadakami,thank you for the help you gave us
addaak ditoy sangoyo makikaasiak koma a tulunganidak,i am here before all of you i humbly ask for your help
kayatko nga agpakada koma a nasayaat kadakayo amin,i want to say goodbye properly to all of you
gapu ta aldaw ti kasangaymo naragsakanka unay nga immarakup kenkuana,because its your birthday you were very happy and hugged her
maysa a rabii ket nadanunam nga adda bisita ania ti ibagam,one night you found out there was a visitor what will you say
kayatmo ti sumurot kadagiti gayyem mo ania aramidem,you want to go with your friends what will you do
nasabatmo ti maestram kayatmo isuna a pagtagariam,you met your teacher you want to greet her
nabayagkayo a saan nga nagkinnita ti gayyemmo ania ti ibagam,you and your friend havent seen each other for a long time what will you say
no agpasiar sabali a balay maparagsak naka launay,when visiting someone elses house they will be happy with you
ti panagsungbat na a maalumamay,his or her gentle way of answering
no met mapan makipatang awan danag ni tatang ken nanang,and when he or she goes to converse with others father and mother have no worry
ta ammoda a madi madillaw tay anakda a nadayaw,because they know their respectful child is not easily embarrassed
kadawyan nga aggian ti pusa iti uneg ti balay,the cat usually lives inside the house
naturog ti buaya idiay sirok ti kayo,the crocodile is sleeping under the tree
ti surat ket adda idiay rabaw ti lamisaan,the letter is on top of the table
simrek dagiti makimisa iti uneg ti simbaan,the churchgoers entered inside the church
tiniliw ni oli daydiay manok a timmayab idiay rabaw ti kayo,oli caught the chicken that flew on top of the tree
nangala ni pedro ti badona iti uneg iti kabinet,pedro got his clothes from inside the cabinet
indisso ni nena tay suratna iti rabaw iti lamisaan,nena placed her letter on top of the table
aggian idiay sirok iti lamisaan,they live under the table
agin inana ni tatang idiay sirok iti kayo,father is resting under the tree
ado iti billit nga agtatayab idlay rabaw ti kayo,there are many birds flying above the tree
nakaturog daydiay pusa idiay sirok ti lamisaan,that cat slept under the table
dagit tattao ket adda amin idiay uneg ti gym,the people are all inside the gym
nagipan ni noel ti pantalonna iti uneg ti kabinet,noel placed his pants inside the cabinet
dagiti ubbing ket addada amin idlay ruar ti paraangan,the children are all outside the porch
da amie ken susie ket agayay ayam ti jack stone itatta,amie and susie are playing jackstones now
binigat nga umin inom ti gatas ni ramon,ramon drinks milk every morning
inaldaw nga aglaklako iti itlog ni tata ambo,tata ambo sells eggs every day
nagpuros ti sabsabong idiay hardin,she picked flowers in the garden
gimmatang ni dr naval ti luganda idi napalabas a tawen,dr naval bought their vehicle last year
nagbuya ti telebisyon ni adingko idi rabii,my younger sibling watched tv last night
umuna mangala ti dua a pidaso ti tinapay,first get two slices of bread
sumaruno pulagidan ti peanut butter,next spread the peanut butter
siak ket agbuggo iti ima sakbay a mangan,i wash my hands before eating
no maisaganak ti pungan ken olesko agkararagak sakbay nga agidda,when my blanket and pillow are ready i pray before sleeping
sumaruno agsukatak ti badok a para balay,next i change into my home clothes
isaruno ni lydia nga impisok ti sagpaw a bangus,next lydia added the bangus
nagawid ta mabisinen ni loma,loma wen home because she is hungry
agkimitata ngarud dita balayyo inton sabado,see you then at your house on saturday
awisenka nga umay ditoy balaymi,i am inviting you to come to our house
saan a makastrek daytoy anakmi ta agsakit ti ulona,my child cannot attend class because he has a headache
kayatko nga ipakaammo iti panagyamanko,i want to express my gratitude
nalawa ti karayan ken naliinaw ti danum.,the river is wide and the water is clear.
nangina dagiti lako nga ay-ayam.,the toys for sale are expensive.
atiddog ti ipos ti aso.,the dog's tail is long.
naata ti bunga ti mangga.,the mango fruit is sour.
diay dakkel a tao nilagtona iti nangato a kayo.,the big person jumped over the tall tree.
ti naanus a baket ket nasayaat ti pannakisao na kadagiti karruba.,the patient old woman has good conversations with her neighbors.
"amin tayo ket madi kayat iti narugit a pagtaengan, mas kaykayat tayo iti nalinis a pagnaedan.","all of us don't like a dirty dwelling, we prefer a clean place to live."
napintas iti langa ni sarah ngem naalas iti aramidna.,sarah's face is beautiful but her actions are bad.
rumagsak iti rikna no makangeg ti napintas a sonata.,the feeling becomes happy when hearing a beautiful sonata.
nadalus a kinanayon iti uneg pagadalammi.,the condition inside our school is clean.
napigsa ti panagbagbagi ni amangko.,my father's health is strong.
nalawa unay ti inaramid ni manongko a kulungan.,the cage my brother made is very wide.
sumbatan na ti saludsod a mano,answers the question how often
agnaspasyar kami kada madanun iti bakasion.,we take a walk every time it's vacation.
mammano kami laeng a rumuar gapu ti epidemia.,we rarely go out because of the epidemic.
mangmangan kami ti pammigat iti oras ti alas-sais.,we will eat breakfast at 6 o'clock.
aldaw ti domingo ti pinaggimongmi.,our meeting is on sunday.
mindemak nga agsibsibog ti mula.,i watered the plants yesterday.
umalis diay bus iti alas-otso ti agsapa.,the bus leaves at 8 in the morning.
agaramidak ti kard para kenni nanang no bigat.,i will make a card for mother tomorrow.
kanayonko a dagasen ni fatima a mapan agbasa.,i always urge fatima to go study.
aldawen a nagri-ing ni lara.,lara wakes up every day.
lungak ti init ti alas 5:45 ti bigat.,i see the sunrise at 5:45 am.
nasapa nga agala ti basura dagiti basurero.,the garbage collectors get the trash early.
madama isuna nga agbuybuya ti telebision.,he is currently watching television.
agbuggo ti ima na kada mangan.,he washes hands every meal.
agwalis ti paraangan a kinanayon.,he sweeps the yard always.
ti panagturog ko ket alas 9:00 ti rabii.,my sleeping time is 9:00 at night.
agsungsungbatak ti modiul ko tatta.,i am answering my module now.
nagay-ayam dagiti ubbing idiay taltalon.,the children played in the field.
agin-inana idiay kuarto ni nanangko.,my mother rested in the room.
tinulungak ni lelangko a nagluto idiay kosina.,i helped my grandmother cook in the kitchen.
naglemmeng ti marabutit idiay sirok ti lamisaan.,the kitten hid under the table.
inpasiarannakami ni tatang idiay mini chocolate hills.,father took us sightseeing at mini chocolate hills.
nagpasirakami idiay tayug eco park.,we went sightseeing at tayug eco park.
aglutoak ti dinengdeng idiay kosina.,i cook dinengdeng in the kitchen.
aginnawak ti pinggan idiay lababo.,i wash the dishes at the sink.
kanayonak nga agay-ayam idiay parke.,i always play at the park.
gumatang ni nanangko iti masapolmi idiay tiendaan.,my mother buys our needs at the market.
adda ti pusa idiay sirok ti lamisaan.,there is a cat under the table.
aglutluto ni nanang idiay kosina.,mother cooks in the kitchen.
agkukuyogkami a mangan idiay silid-panganan.,we eat together in the dining room.
mangawat kadagiti sangati idiay salas.,receive guests in the living room.
imbaonnak ni nanang a gumatang ti tinapay idiay panaderia.,mother sent me to buy bread at the bakery.
"usaren ti dakkel a letra kadagiti nagan ti lugar, petsa, ken nagan ti tao.","use capital letters for names of places, dates, and people."
"no dumakdakkel ti maysa nga ubing, manaynayunan dagiti banag a kabaelanna nga aramiden.","as a child grows, the things they can do improve"
pasurotan dagiti balikas iti nadumaduma a rikna.,trace the words for different feelings
isurat iti ipaaramid ti tunggal numero.,write what each number instructs
"ikkan ti tšek, iti agpada a letra iti uneg ti kahon.",put a check on the same letters inside the box
ikkan ti kahon iti agpada a numero iti kahon.,box the same numbers inside the box
koloran ti husto a rikna ti sumaganad a situasion.,color the correct feeling for each situation
idrowing iti uneg ti kahon iti sumaruno a rikna.,draw the following feeling inside the box
marisan dagiti dua nga agpada a numero iti tunggal ragup.,color the two same numbers in each group
pagsilpuen ti husto a rikna ti sumaganad a ladawan.,match the correct feeling to the picture
timbukelan dagiti agpada a letra iti tunggal kahon.,circle the same letters in each box
naragsakak no dumteng ti kasangayko.,i am happy when my birthday comes
naliday ti ubing ta mabisin.,the child is sad because he is hungry
makaungetak no adda makiap-apa kaniak,i get angry when someone fights with me
dagitoy ti agpada a letra a,these are the same letter a
"ubbing, dagitoy ti nadumaduma a rikna","children, these are the different feelings"
dagitoy nga bola ket agpada ti sukog,these balls have the same shape
ibaga no ania a paset ti bagi iti ipakpakita dagiti ladawan,tell which body part is shown in the pictures
tuladen dagiti garaw nga ipakpakita dagiti ladawan,imitate the actions shown in the pictures
pagsilpuen ti paset ti bagi ken dagiti usarda,match the body part to its use
napateg dagiti mata. us-usaren a pangkita wenno pangmatmat kadagiti banag iti aglawlaw,the eyes are important. they are used for seeing things around us
us-usaren ti dila a pangraman kadagiti nadumaduma a makan,the tongue is used for tasting different foods
dagiti ima ket us-usaren a pangiggem ken pangrikna,the hands are used for holding and feeling
"adda met ti maaramid dagiti saka: magna, agtaray, lumagto","the feet can do many things: walk, run, jump"
"us-usarentayo dagiti pangrikna tapno makakita, makangngeg, makaraman, makaangot, makaiggem ken makaaprostayo.","we use our senses to see, hear, taste, smell, hold, and touch"
